"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM255B.2",0.000132033779650281,-0.706698480113041,0.072,0.168,1,"5","TMEM255B"
"SNX13.1",0.000132596315796295,-0.837859420762134,0.068,0.161,1,"5","SNX13"
"COL18A1.4",0.0001326518794503,-1.01422934577541,0.045,0.128,1,"5","COL18A1"
"MT-ND1.3",0.000133138736656835,-2.8089824544402,0.008,0.067,1,"5","MT-ND1"
"ERICH4.2",0.000133550974795998,1.32116329586459,0.133,0.073,1,"5","ERICH4"
"ZNF654.1",0.000137878707779203,-1.01802640118988,0.042,0.122,1,"5","ZNF654"
"EVL.1",0.000139675922338631,-1.20545572925158,0.038,0.116,1,"5","EVL"
"KCNMB4.2",0.00013972463137151,1.13448556568182,0.216,0.148,1,"5","KCNMB4"
"LINC02147.4",0.00014204180719114,-1.82936812504044,0.015,0.08,1,"5","LINC02147"
"PCAT1.3",0.000142995900379522,-0.868096445877153,0.064,0.155,1,"5","PCAT1"
"SLC45A4.5",0.000144244262860344,-2.94704174960745,0.008,0.066,1,"5","SLC45A4"
"TEAD1.2",0.000145010980436316,-0.351188682771974,0.167,0.307,1,"5","TEAD1"
"FBXO34",0.0001454670148669,-2.11045530848252,0.011,0.073,1,"5","FBXO34"
"STK38.1",0.00014577639110921,-1.3157982869256,0.027,0.098,1,"5","STK38"
"BMP2K.5",0.000146166022759265,-2.49571746334419,0.008,0.066,1,"5","BMP2K"
"LARP4B.2",0.000146178571640065,-0.634694255672419,0.083,0.184,1,"5","LARP4B"
"ARNTL2.1",0.000147242154348894,-7.39713456359333,0,0.052,1,"5","ARNTL2"
"TCF4.2",0.000149337260145718,0.144190903116014,0.761,0.793,1,"5","TCF4"
"LRRC8B.1",0.000153815791153006,-3.56172514307234,0.004,0.059,1,"5","LRRC8B"
"XRN2",0.000154016320770349,-0.584716360676045,0.095,0.2,1,"5","XRN2"
"USP3.2",0.000154918270766401,-0.617943077981296,0.076,0.173,1,"5","USP3"
"WTAP.2",0.000159331587478559,-1.14863152240076,0.042,0.12,1,"5","WTAP"
"RCOR1",0.000161177974790388,-1.55357502661518,0.023,0.091,1,"5","RCOR1"
"ARHGAP10.2",0.000161204748276593,-7.3679472505655,0,0.051,1,"5","ARHGAP10"
"ATP2B1.2",0.00016156672936321,-2.38423769544726,0.008,0.066,1,"5","ATP2B1"
"TNKS2.1",0.000163227289422184,-0.998798067223493,0.03,0.104,1,"5","TNKS2"
"NUP153.1",0.00016334174589105,-1.187419291461,0.038,0.114,1,"5","NUP153"
"MAGT1",0.000165148012582463,-1.93919933963661,0.011,0.072,1,"5","MAGT1"
"LSM14A.1",0.000165904042679842,-0.60141370418517,0.083,0.184,1,"5","LSM14A"
"ARF1.1",0.00016641266455345,-2.11235126290921,0.011,0.072,1,"5","ARF1"
"CPNE2",0.000167087529201825,1.57170798466618,0.114,0.06,1,"5","CPNE2"
"SETBP1.2",0.000168047893144184,-0.616487467881206,0.106,0.214,1,"5","SETBP1"
"MYO9A.1",0.000168628027665075,-0.467917949078225,0.129,0.248,1,"5","MYO9A"
"EHBP1.2",0.000169570445327159,-0.621655169732869,0.083,0.182,1,"5","EHBP1"
"LRCH1.3",0.000169631678135817,0.603417561062744,0.42,0.388,1,"5","LRCH1"
"GPR17.2",0.000169750577327062,1.57676142831831,0.095,0.046,1,"5","GPR17"
"SYN2.2",0.000169941058699401,1.75941255486225,0.076,0.033,1,"5","SYN2"
"ZCCHC2.2",0.000170022744393328,-1.42180086270741,0.038,0.113,1,"5","ZCCHC2"
"GALNT15.4",0.000171237112814036,-7.48943960369896,0,0.051,1,"5","GALNT15"
"SEMA3A.2",0.000171716877916234,-3.08543096672374,0.008,0.065,1,"5","SEMA3A"
"UGGT2.1",0.000172120888887088,-0.674074229881813,0.064,0.156,1,"5","UGGT2"
"ASH1L",0.000175477649199603,-0.367875950079291,0.178,0.317,1,"5","ASH1L"
"JARID2.2",0.000176137481755068,-1.08497222736622,0.045,0.126,1,"5","JARID2"
"ADAMTS9-AS1.2",0.000176250910321986,-3.29186287057416,0.004,0.058,1,"5","ADAMTS9-AS1"
"AC087286.2.3",0.000176561182153215,-0.8855313104288,0.057,0.143,1,"5","AC087286.2"
"REV3L.2",0.000177106872846569,-0.366623751112405,0.178,0.32,1,"5","REV3L"
"IPO7.3",0.000177144240209725,-1.43926541814519,0.027,0.097,1,"5","IPO7"
"NAP1L4",0.00018278513356359,-0.913462484895908,0.038,0.115,1,"5","NAP1L4"
"AMBRA1.1",0.000183472705444553,-0.92484646487002,0.045,0.126,1,"5","AMBRA1"
"PPP2R5C.1",0.000184169580456823,-0.699212239675405,0.068,0.16,1,"5","PPP2R5C"
"MSH2",0.000185720061651101,1.95582312990818,0.064,0.026,1,"5","MSH2"
"GSN.1",0.000186223725176526,-0.684057909651678,0.064,0.155,1,"5","GSN"
"TRPC4AP",0.000186767344721626,-0.589729920891105,0.08,0.177,1,"5","TRPC4AP"
"FLNA.4",0.000187461815345791,-7.32295768561969,0,0.05,1,"5","FLNA"
